Date,Close_AAPL,Close_MSFT,Close_SPY,High_AAPL,High_MSFT,High_SPY,Low_AAPL,Low_MSFT,Low_SPY,Open_AAPL,Open_MSFT,Open_SPY,Volume_AAPL,Volume_MSFT,Volume_SPY,Log_Return_AAPL,Log_Return_MSFT,Log_Return_SPY,SMA_50_AAPL,SMA_200_AAPL,Rolling_STD_AAPL,BB_Upper_AAPL,BB_Lower_AAPL,Daily_Return_AAPL,Month,Day_Name,Daily_Return_MSFT,Daily_Return_SPY,Rolling_Volatility_AAPL
2021-06-22,130.59725952148438,255.36099243164065,396.4703674316406,130.69474066397615,255.63028836599736,397.3043454678535,128.29684436989922,252.3698557150892,393.6311417670724,128.7939773736595,252.67763088322693,394.352679752593,74783600.0,24694100.0,57700300.0,0.0126186234530616,0.0109061844329544,0.0053317254240455,,,2.877542325473375,,,0.01269857421759446,6,Tuesday,0.01096587365894175,0.005345964366840983,
2021-06-23,130.3242950439453,255.1301727294922,395.9924621582031,130.92865119213846,256.6305401403005,397.3511507786434,129.8661605700781,254.3222848429845,395.9081321276498,130.39253480000346,255.82265225379285,396.5453114225933,60214200.0,19518700.0,49445400.0,-0.0020923114426091,-0.0009043044566905,-0.0012061268075389,,,3.149271359886657,,,-0.0020901240848332225,6,Wednesday,-0.0009038956966391787,-0.0012053997289467322,
2021-06-24,130.04165649414062,256.495849609375,398.3350830078125,131.240597184488,257.61151244689773,398.756733186704,129.5737648661965,255.3224826036228,397.88529422084855,131.05539194095186,255.9861098893135,398.13831292432985,68711000.0,21446900.0,45110300.0,-0.0021710877259946,0.0053385874204733,0.0058983920568056,,,3.3417240736492375,,,-0.002168732619726721,6,Thursday,0.005352863070926528,0.005915821823581746,
2021-06-25,129.7492218017578,254.88966369628903,399.75,130.5095270692511,257.0344330491958,400.1997887962621,129.45679326652197,254.6396220924489,398.7567414298832,130.09039090512184,256.0534328701666,399.0847106398985,70783700.0,25611100.0,58129500.0,-0.0022513093440042,-0.0062817234863819,0.0035457835379769,,,3.4123645645392093,,,-0.0022487770478069047,6,Friday,-0.006262034709458519,0.003552077264958653,
2021-06-28,131.3770751953125,258.4482116699219,400.5558776855469,131.8352098315601,258.62132414743763,400.72453776466034,129.98318695524438,255.7456259281969,399.07536933086,130.04166969629122,256.01492178801493,400.274777553691,62111300.0,19590000.0,53159600.0,0.0124681006867875,0.01386457204158,0.0020139248764657,,,3.5092435646747906,,,0.012546151498633806,6,Monday,0.013961130953795697,0.0020159541852329266,
2021-06-29,132.88796997070312,261.02587890625,400.77142333984375,133.04393389324414,261.26632279421653,401.5772628150839,130.95796476825768,257.73662295546177,400.2373044711945,131.39660028605826,258.5925879340712,400.9400834258965,64556100.0,19937800.0,35970500.0,0.0114348171737831,0.009924223129905,0.0005379715859412,,,3.629739041379317,,,0.011500444603021132,6,Tuesday,0.009973631543716,0.0005381163186077842,
2021-06-30,133.5020294189453,260.5448608398437,401.1087341308594,133.9406648079474,260.9872691541704,401.78340305544015,132.43953852296474,259.2945649880765,400.2841356012442,132.73196707347742,260.3428962932451,400.3122456149289,63261400.0,21656500.0,64827900.0,0.0046102371505312,-0.0018444984203526,0.0008412998071305,,,3.7617763155175465,,,0.004620880643880332,6,Wednesday,-0.0018427983785433977,0.0008416537990774131,
2021-07-01,133.8042449951172,261.2181396484375,403.3295593261719,133.86272775012063,261.4489562947867,403.4888684869052,132.33235958434912,259.2945893260647,401.8021816752853,133.15116277501394,259.30418711896345,401.8677812471256,52485800.0,16725300.0,53441000.0,0.0022611942469613,0.0025807854587575,0.0055214448527494,,,3.683251929350316,,,0.002263752674676489,7,Thursday,0.002584118552265924,0.005536716122935381,0.010314798633574726
2021-07-02,136.42628479003906,267.036865234375,406.4123229980469,136.46526832234767,267.373492407976,406.76840218909126,134.27207651002422,262.0837290689693,403.4137884803365,134.41828334809892,262.39150416203586,404.49140558885847,78852600.0,26458000.0,57697700.0,0.0194065569719088,0.0220308785647562,0.0076142253059225,,,3.9414966453797935,,,0.01959608826325021,7,Friday,0.02227535037868611,0.007643287233956464,0.010233686804519493
2021-07-06,138.4342803955078,267.0466003417969,405.6720275878906,139.53574001915328,268.69122829926044,406.6840450735782,136.53351700878477,263.8150192602076,402.9358914741421,136.53351700878477,267.402452595938,406.4685159469993,108181800.0,31565600.0,68710400.0,0.0146112726486041,3.645537842085335e-05,-0.0018231988208792,,,4.271200850942642,,,0.014718539089143112,7,Tuesday,3.6456042926236165e-05,-0.001821537803517348,0.009856271943988722
2021-07-07,140.9198760986328,269.229736328125,407.1057739257813,141.231788943126,269.9606949040537,407.38690265779184,139.05809657469072,266.5560023306056,404.3415272693066,139.91586805219617,268.71999662413555,406.35615449938257,104911600.0,23260000.0,63549500.0,0.0177957710084202,0.0081418772266117,0.0035280191520093,,,4.769404634440757,,,0.017955059223941028,7,Wednesday,0.008175112446793475,0.0035342499368657965,0.010039050428545148
2021-07-08,139.62347412109375,266.8157653808594,403.7886352539063,140.42276298269945,268.07568890593086,404.54763413665,137.11835448019005,264.3632203072105,400.60268153812575,138.0053823208354,266.31562334882244,401.7833591762361,105575500.0,24618600.0,97595200.0,-0.0092421453186103,-0.009006650584481,-0.0081814774832846,,,4.969144304854787,,,-0.009199567963228183,7,Thursday,-0.008966212202962565,-0.008148100283342452,0.010287702382021754
2021-07-09,141.4462432861328,267.3158264160156,408.0989685058594,141.97260274724476,267.4216076093967,408.39882766783205,139.04834716131978,264.79597985271084,403.591815925737,139.1458282969305,265.18068409845046,405.2972327387951,99890800.0,23916700.0,76238600.0,0.0129704098735328,0.0018724269035442,0.010618153866032,,,5.1113742980609365,,,0.013054890493973792,7,Friday,0.0018741809894271544,0.01067472651686363,0.010377905812245458
