Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY
Date,,,,,,,,,,,,,,,
2023-12-15,195.35867309570312,364.45184326171875,456.7601318359375,196.1793699091571,366.09354566450713,458.09346468799856,194.79504567055722,360.0771902707865,454.911024624647,195.3191123528845,360.6375447439286,456.9158501916579,128538400,78502300,141553700
2023-12-18,193.69747924804688,366.33929443359375,459.3293762207031,194.42920214917604,366.68337330414107,460.31233521051485,192.21426816132805,362.4365238179664,457.3050972785772,193.89523770867535,363.1935033333252,458.36590058529424,55751900,21802900,70375300
2023-12-19,194.7357177734375,366.93902587890625,462.1225891113281,194.7456004150459,366.93902587890625,462.2004631426164,193.69746706046115,363.5769287808174,459.7966147557437,193.96444926391277,365.1989808015048,459.8744590867912,40714100,20603700,55761800
2023-12-20,192.64935302734375,364.34368896484375,455.71875,195.46744514462725,369.662076309118,463.1541148518432,192.64935302734375,364.2552166800982,455.2905320048418,194.69617655774934,368.6495201604417,461.2660708823462,52242800,26316700,102921000
2023-12-21,192.5010223388672,367.2142639160156,460.0399169921875,194.87416921268178,368.0695260278655,460.3124166999498,191.3342368191114,363.77353495979867,456.2832820563495,193.90514216040955,366.25084900799567,458.7065840896728,46482500,17708000,86667500
2023-12-22,191.43309020996094,368.2366027832031,460.9644470214844,193.22282892375426,368.8264479888416,462.64812393044707,190.81013681243016,366.39827539290235,459.06669078214355,192.9953923922105,367.3518499751321,461.16881437336167,37149600,17107500,67160400
2023-12-26,190.88925170898438,368.3152770996094,462.91082763671875,191.719846217368,370.5566649551992,463.8159126462135,190.6717128965979,367.1749176642006,461.29528326802847,191.44298138124012,368.649515727109,461.37315728833744,28919300,12673100,55387000
2023-12-27,190.98814392089844,367.7353210449219,463.747802734375,191.33423254727063,368.7085462956533,463.89377939487036,188.95120308408815,366.49664890706117,462.1711954005529,190.3355425015734,367.36175135250176,462.70645305578125,48087700,14905400,68000300
2023-12-28,191.413330078125,368.9247131347656,463.9230041503906,192.4812438348005,370.0847228896946,464.75995685713684,191.00791544042355,367.82368489274694,463.5045277970175,191.96705978425237,369.0131854041311,464.1079178321579,34049900,14327000,77158100
2023-12-29,190.3750762939453,369.67193603515625,462.5799865722656,192.2241411947973,370.77296452657316,464.2539217843669,189.5840274029703,367.1552909116957,460.62380998189565,191.72973752393827,369.6326050173838,463.72837604213146,42672100,18730800,122283100
2024-01-02,183.56219482421875,364.5894775390625,459.9912109375,186.33085840634024,369.5342955375811,460.9839117212058,181.83178197139316,360.55890320609336,457.8890577311239,185.05528848269014,367.528833625427,459.5143439023402,82488700,25258600,123623700
2024-01-03,182.18777465820312,364.32403564453125,456.2345886230469,183.7995356475199,366.93899315410624,458.57030441924957,181.37694529807916,362.26943260145976,455.6311985932203,182.15811164141854,362.760965291212,457.8306496986943,58414500,23083500,103585900
2024-01-04,179.87393188476562,361.7090759277344,454.7649841308594,181.04071720671112,366.7816968551165,458.346416709132,178.85546161628733,360.95212639041375,454.5411334571291,180.11123597031312,364.3928551976836,455.75765509650716,71983600,20901500,84232200
2024-01-05,179.15208435058594,361.5223083496094,455.3879089355469,180.71440156415224,365.7593179114421,457.84040614563645,178.15339449300276,360.29347657411785,453.93779478135224,179.95303087035154,362.72164936252017,454.96940287212124,62379700,21004600,86118900
2024-01-08,183.48309326171875,368.34478759765625,461.8890075683594,183.52265400582175,368.8461605661577,462.0349842457667,179.46853775144191,362.76098316710153,455.7577198150965,180.05193047893468,363.04605054064757,455.884242835596,59144500,23134000,74879100
2024-01-09,183.06777954101562,369.4261474609375,461.1882629394531,183.07766218215258,369.62274253642516,462.21012932199153,180.68475037086026,364.9040407138779,458.72602412321226,181.86143345023166,365.71016152546855,459.2320864754785,42841800,20830000,65931400
